时刻,时段序号,购电量kWh,购电功率kW,电价元每kWh,小区负载kW,光伏实际功率kW,储电量期初kWh,储电量期末kWh,实际充电量kWh,实际放电量kWh,计划充电量kWh,计划放电量kWh
0:10-0:20,1,622.3258,3733.9548,0.4248,3576.1063,0.0,10800.0,10800.0,0.0,0.0,0.0,-0.0
0:20-0:30,2,589.3061,3535.8366,0.4245,3537.871,0.0,10800.0,10799.6233,0.0,0.3391,0.0,0.0
0:30-0:40,3,600.1257,3600.7545,0.4269,3472.1,0.0,10799.6233,10800.0,0.4186,0.0,0.0,-0.0
0:40-0:50,4,643.3677,3860.2064,0.4272,3388.2602,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
0:50-1:00,5,657.5896,3945.5373,0.4271,3299.4233,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
1:00-1:10,6,638.8847,3833.3085,0.4285,3349.26,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
1:10-1:20,7,636.3312,3817.9874,0.4311,3662.0911,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
1:20-1:30,8,635.3315,3811.9889,0.4302,3799.4157,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
1:30-1:40,9,628.7803,3772.6815,0.4279,3736.18,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
1:40-1:50,10,630.39,3782.34,0.4312,3824.9356,0.0,10800.0,10792.1119,0.0,7.0993,0.0,-0.0
1:50-2:00,11,640.2379,3841.4274,0.4333,3734.208,0.0,10792.1119,10800.0,8.7645,0.0,0.0,-0.0
2:00-2:10,12,649.7085,3898.251,0.4311,3587.15,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
2:10-2:20,13,652.0181,3912.1087,0.4293,3856.4774,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
2:20-2:30,14,666.5475,3999.285,0.4324,3923.2147,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
2:30-2:40,15,691.1712,4147.0275,0.4367,3730.5,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
2:40-2:50,16,701.5023,4209.014,0.4348,3819.86,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
2:50-3:00,17,696.5744,4179.4464,0.4335,3791.4644,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
3:00-3:10,18,682.899,4097.394,0.4357,3751.73,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
3:10-3:20,19,672.1753,4033.052,0.4374,4180.5461,0.0,10800.0,10772.6863,0.0,24.5824,0.0,0.0
3:20-3:30,20,689.1839,4135.1035,0.4371,4115.3327,0.0,10772.6863,10775.6519,3.2951,0.0,0.0,0.0
3:30-3:40,21,707.0595,4242.357,0.4356,3748.74,0.0,10775.6519,10800.0,27.0534,0.0,0.0,0.0
3:40-3:50,22,675.3823,4052.2941,0.4353,4220.4858,0.0,10800.0,10768.8534,0.0,28.032,0.0,0.0
3:50-4:00,23,665.2504,3991.5026,0.436,4423.9257,0.0,10768.8534,10688.775,0.0,72.0705,0.0,0.0
4:00-4:10,24,690.6707,4144.0245,0.4378,4079.15,0.0,10688.775,10698.5062,10.8124,0.0,0.0,0.0
4:10-4:20,25,697.2075,4183.2447,0.4401,4038.9424,0.0,10698.5062,10720.1515,24.0504,0.0,0.0,-0.0
4:20-4:30,26,707.684,4246.1039,0.4389,4082.3954,0.0,10720.1515,10744.7078,27.2848,0.0,0.0,0.0
4:30-4:40,27,736.4595,4418.757,0.4364,4064.87,0.0,10744.7078,10797.7909,58.9812,0.0,0.0,0.0
4:40-4:50,28,763.3099,4579.8592,0.4393,4121.8784,0.0,10797.7909,10800.0,2.4546,0.0,0.0,0.0
4:50-5:00,29,747.6244,4485.7463,0.4422,4083.6154,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
5:00-5:10,30,711.319,4267.914,0.4395,4032.31,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
5:10-5:20,31,716.6838,4300.1031,0.4333,4217.9422,0.0023,10800.0,10800.0,0.0,0.0,0.0,0.0
5:20-5:30,32,720.6573,4323.9436,0.4439,4253.2484,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
5:30-5:40,33,707.203,4243.218,0.4301,4066.58,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
5:40-5:50,34,717.7143,4306.2855,0.3713,4077.7781,0.0316,10800.0,10800.0,0.0,0.0,-0.0,0.0
5:50-6:00,35,802.5632,4815.3791,0.5708,4717.7146,0.0,10800.0,10800.0,0.0,0.0,0.0,-0.0
6:00-6:10,36,914.7723,5488.6335,0.9099,5490.65,0.0,10800.0,10799.6266,0.0,0.3361,0.0,0.0
6:10-6:20,37,270.2979,1621.7876,0.9368,5439.318,0.4406,10799.6266,10092.7581,0.0,636.1816,0.0,675.0
6:20-6:30,38,931.9709,5591.8252,0.8758,5407.8325,0.0,10092.7581,10120.357,30.6654,0.0,0.0,0.0
6:30-6:40,39,922.8467,5537.0805,0.8759,5587.05,0.0,10120.357,10111.1034,0.0,8.3283,0.0,0.0
6:40-6:50,40,932.1921,5593.1524,0.8601,5351.2866,6.1366,10111.1034,10148.3037,41.3337,0.0,0.0,0.0
6:50-7:00,41,953.5684,5721.4106,0.8442,5233.249,0.0,10148.3037,10221.528,81.3603,0.0,0.0,0.0
7:00-7:10,42,958.4908,5750.9445,0.8334,5374.2,0.0,10221.528,10278.0397,62.7908,0.0,0.0,0.0
7:10-7:20,43,902.0734,5412.4405,0.8092,5360.7841,172.6829,10278.0397,10311.6906,37.3899,0.0,0.0,0.0
7:20-7:30,44,847.2566,5083.5397,0.7972,5321.3096,420.0356,10311.6906,10339.0304,30.3776,0.0,0.0,0.0
7:30-7:40,45,806.7579,4840.5472,0.7644,5231.72,690.675,10339.0304,10383.9558,49.917,0.0,0.0,0.0
7:40-7:50,46,1590.5117,9543.07,0.6899,5065.8847,996.7377,10383.9558,10800.0,462.2714,0.0,833.3333,0.0
7:50-8:00,47,812.8382,4877.029,0.86,5889.1246,1276.7125,10800.0,10800.0,0.0,0.0,0.0,0.0
8:00-8:10,48,101.2052,607.231,1.1617,7180.79,1539.8625,10800.0,9874.0741,0.0,833.3333,0.0,833.3333
8:10-8:20,49,114.6988,688.1929,1.1683,7254.351,1860.1541,9874.0741,9002.5918,0.0,784.334,0.0,833.3333
8:20-8:30,50,59.1462,354.8773,1.0956,7152.8955,2211.6206,9002.5918,8153.259,0.0,764.3996,0.0,833.3333
8:30-8:40,51,0.0,0.0,1.0849,7367.01,2579.625,8153.259,7266.7062,0.0,797.8975,0.0,830.9219
8:40-8:50,52,0.0,0.0,1.061,7333.1326,2953.1787,7266.7062,6455.6036,0.0,729.9923,0.0,785.5272
8:50-9:00,53,0.0,0.0,1.043,7276.0603,3195.6035,6455.6036,5699.9635,0.0,680.0761,0.0,741.7612
9:00-9:10,54,0.0,0.0,1.036,7255.65,3341.5875,5699.9635,4975.1371,0.0,652.3437,0.0,690.1011
9:10-9:20,55,0.0,0.0,1.0147,7076.8086,3572.7867,4975.1371,4326.2441,0.0,584.0036,0.0,639.2358
9:20-9:30,56,0.0,0.0,0.9922,7014.1683,3848.0561,4326.2441,3739.9271,0.0,527.6854,0.0,613.347
9:30-9:40,57,16.6421,99.8529,0.97,7150.59,4116.6,3739.9271,3196.5683,0.0,489.0229,0.0,578.3981
9:40-9:50,58,538.8822,3233.2929,0.9422,7259.4501,4370.6969,3196.5683,3248.2493,57.4233,0.0,0.0,0.0
9:50-10:00,59,468.6719,2812.0315,0.9569,7142.682,4583.0793,3248.2493,3286.1136,42.0715,0.0,0.0,0.0
10:00-10:10,60,0.0,0.0,0.9977,6912.23,4750.3875,3286.1136,2885.7724,0.0,360.3071,0.0,430.563
10:10-10:20,61,0.0,0.0,0.9919,6873.3728,4886.2111,2885.7724,2517.7795,0.0,331.1936,0.0,452.4903
10:20-10:30,62,472.8907,2837.3439,0.9588,6913.1885,4956.6279,2517.7795,2649.897,146.7972,0.0,0.0,0.0
10:30-10:40,63,443.4728,2660.8365,0.9549,6951.47,4960.7625,2649.897,2750.4163,111.6882,0.0,0.0,0.0
10:40-10:50,64,0.0,0.0,0.9839,7040.6919,4946.2149,2750.4163,2362.5502,0.0,349.0795,0.0,377.6544
10:50-11:00,65,384.9339,2309.6036,0.799,7195.1724,4968.8079,2362.5502,2375.0361,13.8732,0.0,0.0,0.0
11:00-11:10,66,1250.4703,7502.822,0.5025,7266.62,4979.2125,2375.0361,3125.0361,833.3333,0.0,833.3333,0.0
11:10-11:20,67,1153.2883,6919.7299,0.4662,7080.5804,4907.9946,3125.0361,3837.1077,791.1907,0.0,833.3333,0.0
11:20-11:30,68,1066.8112,6400.8675,0.5007,6948.6094,5015.1025,3837.1077,4507.2118,744.5601,0.0,833.3333,0.0
11:30-11:40,69,1064.1155,6384.6928,0.4827,6954.16,5256.3375,4507.2118,5210.2423,781.145,0.0,833.3333,0.0
11:40-11:50,70,1079.5507,6477.3043,0.4785,6860.0706,5348.0182,5210.2423,5955.0301,827.542,0.0,833.3333,0.0
11:50-12:00,71,1064.9873,6389.9237,0.4662,6565.9337,5577.6892,5955.0301,6705.0301,833.3333,0.0,833.3333,0.0
12:00-12:10,72,1023.8313,6142.988,0.4432,6330.9,5890.8,6705.0301,7455.0301,833.3333,0.0,833.3333,0.0
