时刻,时段序号,购电量kWh,购电功率kW,电价元每kWh,小区负载kW,光伏实际功率kW,储电量期初kWh,储电量期末kWh,实际充电量kWh,实际放电量kWh,计划充电量kWh,计划放电量kWh
0:10-0:20,1,633.0015,3798.009,0.4248,3299.0689,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
0:20-0:30,2,627.43,3764.58,0.4245,3421.881,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
0:30-0:40,3,614.9868,3689.9205,0.4269,3683.11,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
0:40-0:50,4,624.1836,3745.1015,0.4272,3476.737,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
0:50-1:00,5,617.7087,3706.2522,0.4271,3302.6695,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
1:00-1:10,6,593.355,3560.13,0.4285,3426.94,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
1:10-1:20,7,586.7537,3520.5222,0.4311,3609.5343,0.0,10800.0,10783.5163,0.0,14.8353,0.0,0.0
1:20-1:30,8,579.0585,3474.3508,0.4302,3668.9025,0.0,10783.5163,10747.4882,0.0,32.4253,0.0,0.0
1:30-1:40,9,570.514,3423.084,0.4279,3589.3,0.0,10747.4882,10716.7074,0.0,27.7027,0.0,0.0
1:40-1:50,10,586.8552,3521.1313,0.4312,3503.6157,0.0,10716.7074,10719.3348,2.9193,0.0,0.0,0.0
1:50-2:00,11,621.7469,3730.4812,0.4333,3545.9703,0.0,10719.3348,10747.0114,30.7518,0.0,0.0,-0.0
2:00-2:10,12,639.7527,3838.5165,0.4311,3590.66,0.0,10747.0114,10784.1899,41.3094,0.0,0.0,0.0
2:10-2:20,13,609.8137,3658.8821,0.4293,3395.9017,0.0,10784.1899,10800.0,17.5668,0.0,0.0,0.0
2:20-2:30,14,597.8747,3587.2482,0.4324,3276.7246,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
2:30-2:40,15,617.6082,3705.6495,0.4367,3394.28,0.0,10800.0,10800.0,0.0,0.0,0.0,-0.0
2:40-2:50,16,623.8919,3743.3515,0.4348,3587.5594,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
2:50-3:00,17,640.999,3845.9938,0.4335,3605.7268,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
3:00-3:10,18,656.0995,3936.597,0.4357,3522.79,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
3:10-3:20,19,625.8585,3755.1511,0.4374,3631.2618,0.0,10800.0,10800.0,0.0,0.0,0.0,-0.0
3:20-3:30,20,603.8192,3622.9151,0.4371,3731.3543,0.0,10800.0,10779.9187,0.0,18.0732,0.0,0.0
3:30-3:40,21,616.4147,3698.4885,0.4356,3721.01,0.0,10779.9187,10775.748,0.0,3.7536,0.0,0.0
3:40-3:50,22,635.4649,3812.7894,0.4353,3699.7385,0.0,10775.748,10792.7056,18.8418,0.0,0.0,0.0
3:50-4:00,23,624.6518,3747.9105,0.436,3674.7825,0.0,10792.7056,10800.0,8.1048,0.0,0.0,0.0
4:00-4:10,24,604.632,3627.792,0.4378,3623.58,0.0,10800.0,10800.0,0.0,0.0,0.0,-0.0
4:10-4:20,25,627.1972,3763.183,0.4401,3538.7697,0.0019,10800.0,10800.0,0.0,0.0,0.0,-0.0
4:20-4:30,26,638.0191,3828.1145,0.4389,3488.7843,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
4:30-4:40,27,625.9873,3755.9235,0.4364,3513.51,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
4:40-4:50,28,635.3261,3811.9565,0.4393,3598.3779,0.0271,10800.0,10800.0,0.0,0.0,0.0,0.0
4:50-5:00,29,650.5631,3903.3786,0.4422,3700.4359,0.0,10800.0,10800.0,0.0,0.0,0.0,-0.0
5:00-5:10,30,652.2373,3913.4235,0.4395,3753.57,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
5:10-5:20,31,639.1445,3834.8669,0.4333,3716.9811,0.3776,10800.0,10800.0,0.0,0.0,0.0,0.0
5:20-5:30,32,634.8277,3808.9662,0.4439,3707.0664,0.0,10800.0,10800.0,0.0,0.0,0.0,-0.0
5:30-5:40,33,634.5272,3807.1635,0.4301,3642.69,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
5:40-5:50,34,630.3584,3782.1507,0.3713,3457.8398,5.2594,10800.0,10800.0,0.0,0.0,0.0,0.0
5:50-6:00,35,731.2868,4387.721,0.5708,4028.7787,0.0,10800.0,10800.0,0.0,0.0,0.0,-0.0
6:00-6:10,36,37.5122,225.073,0.9099,4962.09,0.0,10800.0,9922.7746,0.0,789.5028,0.0,833.3333
6:10-6:20,37,20.5657,123.394,0.9368,4905.1198,153.4202,9922.7746,9065.681,0.0,771.3843,0.0,833.3333
6:20-6:30,38,0.0,0.0,0.8758,4660.8239,401.044,9065.681,8276.8329,0.0,709.9633,0.0,804.4937
6:30-6:40,39,0.0,0.0,0.8759,4703.75,675.525,8276.8329,7530.8653,0.0,671.3708,0.0,777.9573
6:40-6:50,40,414.0195,2484.1173,0.8601,4726.9008,952.6316,7530.8653,7291.9483,0.0,215.0253,0.0,293.7447
6:50-7:00,41,636.9711,3821.8265,0.8442,4819.4733,1302.5378,7291.9483,7337.6819,50.8152,0.0,0.0,0.0
7:00-7:10,42,580.9484,3485.6903,0.8334,4880.33,1693.2375,7337.6819,7382.4716,49.7663,0.0,0.0,0.0
7:10-7:20,43,518.6313,3111.7879,0.8092,4689.3761,2009.9231,7382.4716,7447.3218,72.0558,0.0,0.0,0.0
7:20-7:30,44,504.3095,3025.8568,0.7972,4713.3646,2305.9149,7447.3218,7540.0829,103.0679,0.0,0.0,0.0
7:30-7:40,45,479.3845,2876.307,0.7644,4827.2,2609.7375,7540.0829,7638.9096,109.8074,0.0,0.0,0.0
7:40-7:50,46,1188.8545,7133.1271,0.6899,4578.156,2894.0148,7638.9096,8388.9096,833.3333,0.0,833.3333,0.0
7:50-8:00,47,433.3931,2600.3587,0.86,5187.0368,3179.5684,8388.9096,8477.8431,98.8151,0.0,0.0,0.0
8:00-8:10,48,0.0,0.0,1.1617,6405.59,3476.5125,8477.8431,7935.4213,0.0,488.1796,0.0,624.5522
8:10-8:20,49,0.0,0.0,1.1683,6658.0486,3761.2255,7935.4213,7398.9726,0.0,482.8039,0.0,526.4356
8:20-8:30,50,0.0,0.0,1.0956,6606.6001,3976.3717,7398.9726,6911.8933,0.0,438.3714,0.0,417.0819
8:30-8:40,51,0.0,0.0,1.0849,6687.27,4220.325,6911.8933,6455.0516,0.0,411.1575,0.0,425.8223
8:40-8:50,52,0.0,0.0,1.061,6649.776,4653.7429,6455.0516,6085.4159,0.0,332.6722,0.0,401.1623
8:50-9:00,53,0.0,0.0,1.043,6705.5335,5037.5027,6085.4159,5776.5213,0.0,278.0051,0.0,362.9284
9:00-9:10,54,0.0,0.0,1.036,6757.81,5180.8875,5776.5213,5484.4986,0.0,262.8204,0.0,326.0084
9:10-9:20,55,0.0,0.0,1.0147,6494.2004,5166.4978,5484.4986,5238.6277,0.0,221.2838,0.0,271.3918
9:20-9:30,56,0.0,0.0,0.9922,6436.4392,5533.329,5238.6277,5071.3851,0.0,150.5184,0.0,246.8301
9:30-9:40,57,0.0,0.0,0.97,6570.85,6107.7375,5071.3851,4985.6235,0.0,77.1854,0.0,249.8081
9:40-9:50,58,0.0,0.0,0.9422,6399.3635,6182.795,4985.6235,4945.5183,0.0,36.0948,0.0,232.1911
9:50-10:00,59,0.0,0.0,0.9569,6445.9301,6198.386,4945.5183,4899.6768,0.0,41.2573,0.0,231.1479
10:00-10:10,60,0.0,0.0,0.9977,6697.43,6426.1875,4899.6768,4849.4467,0.0,45.2071,0.0,253.5645
10:10-10:20,61,0.0,0.0,0.9919,6577.9956,6675.2481,4849.4467,4864.0345,16.2087,0.0,0.0,261.43
10:20-10:30,62,0.0,0.0,0.9588,6445.2772,6774.004,4864.0345,4913.3436,54.7878,0.0,0.0,246.5384
10:30-10:40,63,0.0,0.0,0.9549,6473.61,6879.075,4913.3436,4974.1633,67.5775,0.0,0.0,208.474
10:40-10:50,64,0.0,0.0,0.9839,6454.2353,7268.5137,4974.1633,5096.3051,135.7131,0.0,0.0,157.8021
10:50-11:00,65,146.4459,878.6754,0.799,6352.336,7455.3554,5096.3051,5393.5593,330.2825,0.0,0.0,0.0
11:00-11:10,66,990.1421,5940.8525,0.5025,6279.9,7263.0,5393.5593,6143.5593,833.3333,0.0,833.3333,0.0
11:10-11:20,67,954.353,5726.1181,0.4662,6362.0436,7021.6679,6143.5593,6893.5593,833.3333,0.0,833.3333,0.0
11:20-11:30,68,920.3466,5522.0796,0.5007,6393.8373,7052.8842,6893.5593,7643.5593,833.3333,0.0,833.3333,0.0
11:30-11:40,69,908.0041,5448.0245,0.4827,6360.1,7317.5625,7643.5593,8393.5593,833.3333,0.0,833.3333,0.0
11:40-11:50,70,886.1655,5316.9929,0.4785,6424.0276,7505.6333,8393.5593,9143.5593,833.3333,0.0,833.3333,0.0
11:50-12:00,71,851.6261,5109.7565,0.4662,6379.6216,7635.0323,9143.5593,9893.5593,833.3333,0.0,833.3333,0.0
12:00-12:10,72,822.2488,4933.493,0.4432,6168.32,7818.45,9893.5593,10643.5593,833.3333,0.0,833.3333,0.0
12:10-12:20,73,815.3229,4891.9376,0.4411,5958.8116,8082.9395,10643.5593,10800.0,173.823,0.0,833.3333,0.0
12:20-12:30,74,794.8093,4768.8557,0.4551,5855.2299,8090.5707,10800.0,10800.0,0.0,0.0,833.3333,0.0
12:30-12:40,75,773.4658,4640.795,0.4463,5883.66,7709.3625,10800.0,10800.0,0.0,0.0,833.3333,0.0
12:40-12:50,76,802.0231,4812.1386,0.4113,6006.2794,7205.256,10800.0,10800.0,0.0,0.0,833.3333,0.0
12:50-13:00,77,836.6594,5019.9567,0.5682,6168.3548,7206.9442,10800.0,10800.0,0.0,0.0,833.3333,0.0
13:00-13:10,78,36.5173,219.1035,0.8279,6351.38,7525.8,10800.0,10800.0,0.0,0.0,0.0,0.0
13:10-13:20,79,0.0,0.0,0.8636,6510.6216,7339.075,10800.0,10800.0,0.0,0.0,0.0,98.1546
13:20-13:30,80,128.3526,770.1155,0.8416,6358.8315,6900.6338,10800.0,10800.0,0.0,0.0,0.0,0.0
13:30-13:40,81,0.0,0.0,0.8618,6039.3,6610.0125,10800.0,10800.0,0.0,0.0,0.0,113.2679
13:40-13:50,82,0.0,0.0,0.8623,6028.9848,6642.1795,10800.0,10800.0,0.0,0.0,0.0,95.6283
13:50-14:00,83,0.0,0.0,0.9026,6177.7813,6806.5377,10800.0,10800.0,0.0,0.0,0.0,69.4789
14:00-14:10,84,0.0,0.0,0.9754,6280.02,6799.95,10800.0,10800.0,0.0,0.0,0.0,53.3278
14:10-14:20,85,0.0,0.0,1.0002,6283.4823,6453.6137,10800.0,10800.0,0.0,0.0,0.0,81.8195
14:20-14:30,86,0.0,0.0,0.9978,6314.912,6203.5886,10800.0,10779.3846,0.0,18.5539,0.0,107.3113
14:30-14:40,87,0.0,0.0,1.0271,6352.79,6115.6875,10779.3846,10735.4767,0.0,39.5171,0.0,123.5421
14:40-14:50,88,0.0,0.0,1.0906,6259.4213,5837.6616,10735.4767,10657.373,0.0,70.2933,0.0,170.6595
