时刻,时段序号,购电量kWh,购电功率kW,电价元每kWh,小区负载kW,光伏实际功率kW,储电量期初kWh,储电量期末kWh,实际充电量kWh,实际放电量kWh,计划充电量kWh,计划放电量kWh
0:10-0:20,1,576.1386,3456.8317,0.4248,3087.9838,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
0:20-0:30,2,568.3583,3410.1501,0.4245,3200.0919,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
0:30-0:40,3,548.6985,3292.191,0.4269,3401.46,0.0,10800.0,10779.765,0.0,18.2115,0.0,0.0
0:40-0:50,4,550.3565,3302.139,0.4272,3063.5261,0.0,10779.765,10800.0,22.4833,0.0,0.0,-0.0
0:50-1:00,5,558.1374,3348.8244,0.4271,2820.2572,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
1:00-1:10,6,558.5755,3351.453,0.4285,2883.38,0.0,10800.0,10800.0,0.0,0.0,0.0,-0.0
1:10-1:20,7,549.7298,3298.3785,0.4311,2869.9796,0.0,10800.0,10800.0,0.0,0.0,0.0,-0.0
1:20-1:30,8,521.2009,3127.2051,0.4302,2985.8287,0.0,10800.0,10800.0,0.0,0.0,0.0,0.0
1:30-1:40,9,500.493,3002.958,0.4279,3164.18,0.0,10800.0,10770.1441,0.0,26.8703,0.0,0.0
1:40-1:50,10,523.498,3140.9877,0.4312,3064.8457,0.0,10770.1441,10781.5654,12.6903,0.0,0.0,-0.0
1:50-2:00,11,505.1286,3030.7715,0.4333,2954.0459,0.0,10781.5654,10793.0742,12.7876,0.0,0.0,-0.0
2:00-2:10,12,469.8015,2818.809,0.4311,2994.62,0.0,10793.0742,10760.5166,0.0,29.3018,0.0,0.0
2:10-2:20,13,521.8279,3130.9677,0.4293,3072.4014,0.0,10760.5166,10769.3016,9.761,0.0,0.0,0.0
2:20-2:30,14,532.0536,3192.3214,0.4324,3013.1015,0.0,10769.3016,10796.1846,29.87,0.0,0.0,0.0
2:30-2:40,15,0.0,0.0,0.4367,2838.75,0.0,10796.1846,10270.4901,0.0,473.125,0.0,486.9568
2:40-2:50,16,500.7456,3004.4736,0.4348,2749.9199,0.0,10270.4901,10308.6732,42.4256,0.0,0.0,0.0
2:50-3:00,17,501.0755,3006.4532,0.4335,2820.5847,0.0,10308.6732,10336.5534,30.9781,0.0,0.0,0.0
3:00-3:10,18,0.0,0.0,0.4357,2936.24,0.0,10336.5534,9792.8053,0.0,489.3733,0.0,473.6795
3:10-3:20,19,0.0,0.0,0.4374,2920.1894,0.0012,9792.8053,9252.0297,0.0,486.698,0.0,484.314
3:20-3:30,20,0.0,0.0,0.4371,2951.0328,0.0,9252.0297,8705.5421,0.0,491.8388,0.0,494.6521
3:30-3:40,21,121.9979,731.9875,0.4356,2977.51,0.0,8705.5421,8289.7046,0.0,374.2538,0.0,371.7436
3:40-3:50,22,511.6092,3069.655,0.4353,2780.298,0.0162,8289.7046,8333.1106,48.2289,0.0,0.0,0.0
3:50-4:00,23,0.0,0.0,0.436,2728.3059,0.0,8333.1106,7827.8688,0.0,454.7176,0.0,524.4203
4:00-4:10,24,0.0,0.0,0.4378,2862.19,0.0,7827.8688,7297.8336,0.0,477.0317,0.0,505.015
4:10-4:20,25,0.0,0.0,0.4401,2845.9182,0.2263,7297.8336,6770.8536,0.0,474.282,0.0,456.4667
4:20-4:30,26,0.0,0.0,0.4389,2748.951,0.0,6770.8536,6261.7886,0.0,458.1585,0.0,455.3943
4:30-4:40,27,0.0,0.0,0.4364,2677.31,0.0,6261.7886,5765.9905,0.0,446.2183,0.0,489.9808
4:40-4:50,28,0.0,0.0,0.4393,2660.8713,3.1516,5765.9905,5273.8202,0.0,442.9533,0.0,475.4346
4:50-5:00,29,0.0,0.0,0.4422,2702.3205,0.0,5273.8202,4773.3904,0.0,450.3867,0.0,462.2135
5:00-5:10,30,0.0,0.0,0.4395,2732.32,7.275,4773.3904,4268.7525,0.0,454.1742,0.0,460.166
5:10-5:20,31,415.5548,2493.3289,0.4333,2664.7178,116.7655,4268.7525,4258.637,0.0,9.1039,0.0,0.0
5:20-5:30,32,0.0,0.0,0.4439,2606.871,263.9703,4258.637,3824.7665,0.0,390.4835,0.0,397.7423
5:30-5:40,33,410.4538,2462.7225,0.4301,2642.15,417.075,3824.7665,3860.4137,39.6079,0.0,0.0,0.0
5:40-5:50,34,385.0338,2310.203,0.3713,2745.0641,587.5961,3860.4137,3883.3239,25.4558,0.0,0.0,0.0
5:50-6:00,35,0.0,0.0,0.5708,2758.042,735.8325,3883.3239,3508.8407,0.0,337.0349,0.0,337.876
6:00-6:10,36,0.0,0.0,0.9099,2741.64,890.7,3508.8407,3166.074,0.0,308.49,0.0,297.1045
6:10-6:20,37,0.0,0.0,0.9368,2888.7304,1136.9554,3166.074,2841.6712,0.0,291.9625,0.0,270.4476
6:20-6:30,38,0.0,0.0,0.8758,2932.231,1453.4028,2841.6712,2567.8142,0.0,246.4714,0.0,228.0944
